iter	Logloss	AUC
0	0.649144623	0.7408291531
1	0.6228603572	0.7536202434
2	0.6064690116	0.7607071619
3	0.5918356441	0.7660116031
4	0.5831893808	0.7691587374
5	0.576474331	0.7743924015
6	0.5710502842	0.7774344018
7	0.567157419	0.7814203437
8	0.5630429309	0.783937491
9	0.5604393444	0.7859309171
10	0.5517968498	0.7911080377
11	0.5492307352	0.7935368801
12	0.5462328667	0.7969598913
13	0.5435843911	0.7994722414
14	0.5418568795	0.8014693443
15	0.5387370747	0.805269315
16	0.5362174265	0.8075906997
17	0.5341544878	0.8093795357
18	0.5330678915	0.8104211551
19	0.5318067557	0.8114394661
20	0.5300070438	0.8131363464
21	0.5284941668	0.8144605222
22	0.5268478208	0.8158714478
23	0.5238149281	0.8189395769
24	0.5206310236	0.822016478
25	0.5192146153	0.8235591876
26	0.518270841	0.8243139908
27	0.516641046	0.8256027577
28	0.5154330425	0.8267801978
29	0.5140387312	0.8280569587
30	0.5106851908	0.8307983765
31	0.5099645437	0.8315652883
32	0.5087188609	0.832791998
33	0.5080736497	0.8333730753
34	0.5069914212	0.8344709386
35	0.5063648655	0.8349104357
36	0.5028871847	0.8365865885
37	0.4993437074	0.8398458492
38	0.4980300879	0.8409602046
39	0.496639986	0.8421805132
40	0.4958106869	0.8427137962
41	0.4952344942	0.8433144172
42	0.494174861	0.844397153
43	0.4929033478	0.8455004893
44	0.4921396834	0.8461998644
45	0.4912629003	0.8469101789
46	0.4904656178	0.8475769524
47	0.4865769988	0.8506311525
48	0.484072207	0.8531014483
49	0.4825835675	0.8542655097
50	0.4816728083	0.8550413971
51	0.4803223332	0.8561713849
52	0.4795166474	0.8565430196
53	0.4784946961	0.8574838332
54	0.4772698244	0.8586630531
55	0.4732697855	0.8603848589
56	0.4699245192	0.8624275627
57	0.4650508662	0.8661041941
58	0.4640560202	0.8671462988
59	0.4575253648	0.8725170798
60	0.4518542695	0.8773810372
61	0.4496769897	0.8790305059
62	0.4486845161	0.8798389997
63	0.4473830335	0.88064219
64	0.4453460997	0.881216959
65	0.4445056192	0.8818487714
66	0.4435497966	0.8824926289
67	0.4424178783	0.8833828245
68	0.4408410493	0.8845489133
69	0.4397206663	0.8852451017
70	0.4388493774	0.8859272747
71	0.4380043493	0.8866008891
72	0.4371283061	0.8872012267
73	0.4360289176	0.8880712225
74	0.4350964327	0.8886473169
75	0.4339056782	0.8896148195
76	0.4332381858	0.8899869427
77	0.4316490164	0.8912949993
78	0.4307088659	0.8917816572
79	0.4267127031	0.8931138494
80	0.4253090207	0.8936708432
81	0.4241092755	0.8942362197
82	0.4236061779	0.8945743263
83	0.4229726386	0.894986838
84	0.4223143817	0.8954588536
85	0.4211220124	0.8959922067
86	0.4204801093	0.8964761664
87	0.416667367	0.8991935836
88	0.4159439754	0.8996991567
89	0.4131375405	0.9012439196
90	0.409898348	0.9028325639
91	0.4054147271	0.9055018221
92	0.4046002163	0.9059793058
93	0.4032494321	0.9063833369
94	0.4020989267	0.9072441519
95	0.4015434949	0.9075918578
96	0.4010192231	0.9079356132
97	0.3993288725	0.9085664925
98	0.3971164443	0.9094228393
99	0.3963938546	0.9098927022
