iter	Passed	Remaining
0	68	6751
1	81	3983
2	93	3013
3	106	2559
4	120	2292
5	133	2090
6	146	1940
7	158	1825
8	171	1731
9	184	1659
10	197	1595
11	227	1670
12	240	1609
13	253	1557
14	266	1511
15	278	1464
16	292	1425
17	326	1489
18	339	1448
19	351	1407
20	364	1371
21	377	1339
22	390	1308
23	423	1342
24	437	1313
25	450	1281
26	462	1251
27	475	1223
28	488	1196
29	502	1171
30	533	1188
31	545	1159
32	558	1134
33	571	1108
34	584	1084
35	596	1060
36	629	1071
37	642	1048
38	654	1024
39	667	1001
40	680	979
41	693	957
42	723	959
43	737	938
44	750	916
45	764	897
46	777	877
47	798	865
48	823	857
49	837	837
50	851	817
51	864	798
52	877	778
53	890	758
54	921	753
55	934	733
56	949	716
57	963	697
58	975	678
59	991	660
60	1019	651
61	1031	632
62	1044	613
63	1056	594
64	1068	575
65	1081	557
66	1113	548
67	1127	530
68	1139	512
69	1153	494
70	1166	476
71	1179	458
72	1212	448
73	1224	430
74	1237	412
75	1251	395
76	1263	377
77	1275	359
78	1288	342
79	1321	330
80	1335	313
81	1347	295
82	1361	278
83	1374	261
84	1387	244
85	1419	231
86	1431	213
87	1444	196
88	1457	180
89	1470	163
90	1483	146
91	1516	131
92	1529	115
93	1541	98
94	1554	81
95	1569	65
96	1581	48
97	1612	32
98	1626	16
99	1639	0
